date,home_team,away_team,home_score,away_score,url
21.09. 11:07,Fiji,Japan,41,17,https://www.flashscore.com/match/2Xnf6Rt3/#/match-summary
21.09. 08:00,USA,Samoa,13,18,https://www.flashscore.com/match/Acj245BF/#/match-summary
15.09. 07:05,Samoa,Japan,27,49,https://www.flashscore.com/match/jPTO0Qpk/#/match-summary
14.09. 11:05,Fiji,USA,22,3,https://www.flashscore.com/match/6ihh6nNR/#/match-summary
14.09. 08:00,Tonga,Canada,30,17,https://www.flashscore.com/match/bRlp88hF/#/match-summary
07.09. 11:05,Japan,USA,41,24,https://www.flashscore.com/match/bsoUK49b/#/match-summary
06.09. 04:00,Tonga,Fiji,19,50,https://www.flashscore.com/match/vwE34qPH/#/match-summary
01.09. 02:00,USA,Canada,28,15,https://www.flashscore.com/match/QTnMMQvn/#/match-summary
30.08. 05:00,Samoa,Tonga,43,17,https://www.flashscore.com/match/INPf65f5/#/match-summary
25.08. 22:00,Canada,Japan,28,55,https://www.flashscore.com/match/n3HB2NgU/#/match-summary
23.08. 07:00,Fiji,Samoa,42,16,https://www.flashscore.com/match/QF7m8RPh/#/match-summary
