,url,Attribute,Home Result,Away Result
0,https://www.flashscore.com/match/2Xnf6Rt3/#/match-summary/match-statistics/0,10 - 10,1ST HALF,7'
1,https://www.flashscore.com/match/2Xnf6Rt3/#/match-summary/match-statistics/0,(Penalty Goal),Seung-Sin L.,10'
2,https://www.flashscore.com/match/2Xnf6Rt3/#/match-summary/match-statistics/0,(Penalty Goal),Muntz C.,20'
3,https://www.flashscore.com/match/2Xnf6Rt3/#/match-summary/match-statistics/0,(Try),Riley D.,21'
4,https://www.flashscore.com/match/2Xnf6Rt3/#/match-summary/match-statistics/0,(Conversion Goal),Seung-Sin L.,32'
5,https://www.flashscore.com/match/2Xnf6Rt3/#/match-summary/match-statistics/0,(Try),Karawalevu V.,33'
6,https://www.flashscore.com/match/2Xnf6Rt3/#/match-summary/match-statistics/0,(Conversion Goal),Muntz C.,37'
7,https://www.flashscore.com/match/2Xnf6Rt3/#/match-summary/match-statistics/0,2ND HALF,Harada M.,31 - 7
8,https://www.flashscore.com/match/2Xnf6Rt3/#/match-summary/match-statistics/0,Muntz C.,56',(Penalty Goal)
9,https://www.flashscore.com/match/2Xnf6Rt3/#/match-summary/match-statistics/0,Karawalevu V.,59',(Try)
10,https://www.flashscore.com/match/2Xnf6Rt3/#/match-summary/match-statistics/0,Muntz C.,60',(Conversion Goal)
11,https://www.flashscore.com/match/2Xnf6Rt3/#/match-summary/match-statistics/0,Tuisue A.,67',(Try)
12,https://www.flashscore.com/match/2Xnf6Rt3/#/match-summary/match-statistics/0,Muntz C.,68',(Conversion Goal)
13,https://www.flashscore.com/match/2Xnf6Rt3/#/match-summary/match-statistics/0,Karawalevu V.,70',(Try)
14,https://www.flashscore.com/match/2Xnf6Rt3/#/match-summary/match-statistics/0,Muntz C.,71',(Conversion Goal)
15,https://www.flashscore.com/match/2Xnf6Rt3/#/match-summary/match-statistics/0,Karawalevu V.,75',(Try)
16,https://www.flashscore.com/match/2Xnf6Rt3/#/match-summary/match-statistics/0,Armstrong-Ravula I.,76',(Conversion Goal)
17,https://www.flashscore.com/match/2Xnf6Rt3/#/match-summary/match-statistics/0,Tuitama M.,78',(Try)
18,https://www.flashscore.com/match/2Xnf6Rt3/#/match-summary/match-statistics/0,Seung-Sin L.,78',(Conversion Goal)
19,https://www.flashscore.com/match/Acj245BF/#/match-summary/match-statistics/0,10 - 6,1ST HALF,5'
20,https://www.flashscore.com/match/Acj245BF/#/match-summary/match-statistics/0,(Penalty Goal),Carty L.,7'
21,https://www.flashscore.com/match/Acj245BF/#/match-summary/match-statistics/0,(Try),Fricker T.,8'
22,https://www.flashscore.com/match/Acj245BF/#/match-summary/match-statistics/0,(Conversion Goal),Carty L.,15'
23,https://www.flashscore.com/match/Acj245BF/#/match-summary/match-statistics/0,(Penalty Goal),Esekia Iona R.,32'
24,https://www.flashscore.com/match/Acj245BF/#/match-summary/match-statistics/0,(Penalty Goal),Esekia Iona R.,2ND HALF
25,https://www.flashscore.com/match/Acj245BF/#/match-summary/match-statistics/0,42',3 - 12,Petelo-Mapu I.
26,https://www.flashscore.com/match/Acj245BF/#/match-summary/match-statistics/0,43',(Try),Esekia Iona R.
27,https://www.flashscore.com/match/Acj245BF/#/match-summary/match-statistics/0,53',(Conversion Goal),Carty L.
28,https://www.flashscore.com/match/Acj245BF/#/match-summary/match-statistics/0,78',(Penalty Goal),Nanai M.
29,https://www.flashscore.com/match/jPTO0Qpk/#/match-summary/match-statistics/0,13 - 28,1ST HALF,6'
30,https://www.flashscore.com/match/jPTO0Qpk/#/match-summary/match-statistics/0,(Try),Riley D.,7'
31,https://www.flashscore.com/match/jPTO0Qpk/#/match-summary/match-statistics/0,(Conversion Goal),Seung-Sin L.,10'
32,https://www.flashscore.com/match/jPTO0Qpk/#/match-summary/match-statistics/0,10',Alofipo E.,(Penalty Try)
33,https://www.flashscore.com/match/jPTO0Qpk/#/match-summary/match-statistics/0,Tuitama T.,13',(Try)
34,https://www.flashscore.com/match/jPTO0Qpk/#/match-summary/match-statistics/0,Esekia Iona R.,14',(Conversion Goal)
35,https://www.flashscore.com/match/jPTO0Qpk/#/match-summary/match-statistics/0,Osada T.,16',(Try)
36,https://www.flashscore.com/match/jPTO0Qpk/#/match-summary/match-statistics/0,Seung-Sin L.,17',(Conversion Goal)
37,https://www.flashscore.com/match/jPTO0Qpk/#/match-summary/match-statistics/0,Esekia Iona R.,25',(Penalty Goal)
38,https://www.flashscore.com/match/jPTO0Qpk/#/match-summary/match-statistics/0,Esekia Iona R.,29',(Penalty Goal)
39,https://www.flashscore.com/match/jPTO0Qpk/#/match-summary/match-statistics/0,Seung-Sin L.,39',(Try)
40,https://www.flashscore.com/match/jPTO0Qpk/#/match-summary/match-statistics/0,Seung-Sin L.,40',(Conversion Goal)
41,https://www.flashscore.com/match/jPTO0Qpk/#/match-summary/match-statistics/0,14 - 21,2ND HALF,44'
42,https://www.flashscore.com/match/jPTO0Qpk/#/match-summary/match-statistics/0,(Try),Shimokawa K.,45'
43,https://www.flashscore.com/match/jPTO0Qpk/#/match-summary/match-statistics/0,(Conversion Goal),Seung-Sin L.,52'
44,https://www.flashscore.com/match/jPTO0Qpk/#/match-summary/match-statistics/0,(Try),Matavao M.,53'
45,https://www.flashscore.com/match/jPTO0Qpk/#/match-summary/match-statistics/0,(Conversion Goal),Esekia Iona R.,58'
46,https://www.flashscore.com/match/jPTO0Qpk/#/match-summary/match-statistics/0,(Try),Fujiwara S.,59'
47,https://www.flashscore.com/match/jPTO0Qpk/#/match-summary/match-statistics/0,(Conversion Goal),Seung-Sin L.,72'
48,https://www.flashscore.com/match/jPTO0Qpk/#/match-summary/match-statistics/0,(Try),Lalomilo L.,73'
49,https://www.flashscore.com/match/jPTO0Qpk/#/match-summary/match-statistics/0,(Conversion Goal),Esekia Iona R.,79'
50,https://www.flashscore.com/match/jPTO0Qpk/#/match-summary/match-statistics/0,(Try),Takahashi T.,80'
51,https://www.flashscore.com/match/6ihh6nNR/#/match-summary/match-statistics/0,10 - 3,1ST HALF,4'
52,https://www.flashscore.com/match/6ihh6nNR/#/match-summary/match-statistics/0,(Penalty Goal),Mattina C.,23'
53,https://www.flashscore.com/match/6ihh6nNR/#/match-summary/match-statistics/0,(Penalty Goal),Muntz C.,26'
54,https://www.flashscore.com/match/6ihh6nNR/#/match-summary/match-statistics/0,(Try),Canakaivata E.,27'
55,https://www.flashscore.com/match/6ihh6nNR/#/match-summary/match-statistics/0,(Conversion Goal),Muntz C.,2ND HALF
56,https://www.flashscore.com/match/6ihh6nNR/#/match-summary/match-statistics/0,51',12 - 0,Canakaivata E.
57,https://www.flashscore.com/match/6ihh6nNR/#/match-summary/match-statistics/0,52',(Try),Muntz C.
58,https://www.flashscore.com/match/6ihh6nNR/#/match-summary/match-statistics/0,54',(Conversion Goal),Ikanivere T.
59,https://www.flashscore.com/match/6ihh6nNR/#/match-summary/match-statistics/0,Lomani F.,60',(Try)
60,https://www.flashscore.com/match/bRlp88hF/#/match-summary/match-statistics/0,19 - 10,1ST HALF,6'
61,https://www.flashscore.com/match/bRlp88hF/#/match-summary/match-statistics/0,(Penalty Goal),Nelson P.,10'
62,https://www.flashscore.com/match/bRlp88hF/#/match-summary/match-statistics/0,(Try),Moala S.,11'
63,https://www.flashscore.com/match/bRlp88hF/#/match-summary/match-statistics/0,(Conversion Goal),Pellegrini P.,15'
64,https://www.flashscore.com/match/bRlp88hF/#/match-summary/match-statistics/0,(Try),Tapueluelu J.,16'
65,https://www.flashscore.com/match/bRlp88hF/#/match-summary/match-statistics/0,(Conversion Goal),Pellegrini P.,19'
66,https://www.flashscore.com/match/bRlp88hF/#/match-summary/match-statistics/0,20',Felemi J.,Quattrin A.
67,https://www.flashscore.com/match/bRlp88hF/#/match-summary/match-statistics/0,21',(Try),Nelson P.
68,https://www.flashscore.com/match/bRlp88hF/#/match-summary/match-statistics/0,26',(Conversion Goal),Unga J.
69,https://www.flashscore.com/match/bRlp88hF/#/match-summary/match-statistics/0,2ND HALF,(Try),11 - 7
70,https://www.flashscore.com/match/bRlp88hF/#/match-summary/match-statistics/0,Pellegrini P.,47',(Penalty Goal)
71,https://www.flashscore.com/match/bRlp88hF/#/match-summary/match-statistics/0,McMullin T.,67',(Try)
72,https://www.flashscore.com/match/bRlp88hF/#/match-summary/match-statistics/0,Nelson P.,68',(Conversion Goal)
73,https://www.flashscore.com/match/bRlp88hF/#/match-summary/match-statistics/0,Pellegrini P.,70',(Penalty Goal)
74,https://www.flashscore.com/match/bRlp88hF/#/match-summary/match-statistics/0,Fryer E.,70',80'
75,https://www.flashscore.com/match/bsoUK49b/#/match-summary/match-statistics/0,24 - 10,1ST HALF,5'
76,https://www.flashscore.com/match/bsoUK49b/#/match-summary/match-statistics/0,(Penalty Goal),Seung-Sin L.,14'
77,https://www.flashscore.com/match/bsoUK49b/#/match-summary/match-statistics/0,(Try),McCurran N.,15'
78,https://www.flashscore.com/match/bsoUK49b/#/match-summary/match-statistics/0,(Conversion Goal),Seung-Sin L.,18'
79,https://www.flashscore.com/match/bsoUK49b/#/match-summary/match-statistics/0,(Penalty Goal),Carty L.,22'
80,https://www.flashscore.com/match/bsoUK49b/#/match-summary/match-statistics/0,(Try),Waqa S.,23'
81,https://www.flashscore.com/match/bsoUK49b/#/match-summary/match-statistics/0,(Conversion Goal),Seung-Sin L.,30'
82,https://www.flashscore.com/match/bsoUK49b/#/match-summary/match-statistics/0,(Try),Fa'anana Schultz J.,31'
83,https://www.flashscore.com/match/bsoUK49b/#/match-summary/match-statistics/0,(Conversion Goal),Carty L.,39'
84,https://www.flashscore.com/match/bsoUK49b/#/match-summary/match-statistics/0,(Try),Harada M.,40'
85,https://www.flashscore.com/match/bsoUK49b/#/match-summary/match-statistics/0,(Conversion Goal),Seung-Sin L.,2ND HALF
86,https://www.flashscore.com/match/bsoUK49b/#/match-summary/match-statistics/0,44',17 - 14,Riley D.
87,https://www.flashscore.com/match/bsoUK49b/#/match-summary/match-statistics/0,45',(Try),Seung-Sin L.
88,https://www.flashscore.com/match/bsoUK49b/#/match-summary/match-statistics/0,51',(Conversion Goal),Augspurger N.
89,https://www.flashscore.com/match/bsoUK49b/#/match-summary/match-statistics/0,52',(Try),Carty L.
90,https://www.flashscore.com/match/bsoUK49b/#/match-summary/match-statistics/0,58',(Conversion Goal),Augspurger N.
91,https://www.flashscore.com/match/bsoUK49b/#/match-summary/match-statistics/0,59',(Try),Carty L.
92,https://www.flashscore.com/match/bsoUK49b/#/match-summary/match-statistics/0,62',(Conversion Goal),Seung-Sin L.
93,https://www.flashscore.com/match/bsoUK49b/#/match-summary/match-statistics/0,66',(Penalty Goal),Tuitama M.
94,https://www.flashscore.com/match/bsoUK49b/#/match-summary/match-statistics/0,67',(Try),Seung-Sin L.
95,https://www.flashscore.com/match/vwE34qPH/#/match-summary/match-statistics/0,19 - 26,1ST HALF,2'
96,https://www.flashscore.com/match/vwE34qPH/#/match-summary/match-statistics/0,(Try),Masi I.,3'
97,https://www.flashscore.com/match/vwE34qPH/#/match-summary/match-statistics/0,(Missed Conversion),Muntz C.,5'
98,https://www.flashscore.com/match/vwE34qPH/#/match-summary/match-statistics/0,(Try),Ikanivere T.,6'
99,https://www.flashscore.com/match/vwE34qPH/#/match-summary/match-statistics/0,(Conversion Goal),Muntz C.,11'
100,https://www.flashscore.com/match/vwE34qPH/#/match-summary/match-statistics/0,(Try),Canakaivata E.,12'
101,https://www.flashscore.com/match/vwE34qPH/#/match-summary/match-statistics/0,(Conversion Goal),Muntz C.,16'
102,https://www.flashscore.com/match/vwE34qPH/#/match-summary/match-statistics/0,18',Cocagi A.,Paea
103,https://www.flashscore.com/match/vwE34qPH/#/match-summary/match-statistics/0,18',(Try),Pellegrini P.
104,https://www.flashscore.com/match/vwE34qPH/#/match-summary/match-statistics/0,28',(Conversion Goal),Inisi F.
105,https://www.flashscore.com/match/vwE34qPH/#/match-summary/match-statistics/0,29',(Try),Pellegrini P.
106,https://www.flashscore.com/match/vwE34qPH/#/match-summary/match-statistics/0,36',(Conversion Goal),Pellegrini P.
107,https://www.flashscore.com/match/vwE34qPH/#/match-summary/match-statistics/0,37',(Try),Pellegrini P.
108,https://www.flashscore.com/match/vwE34qPH/#/match-summary/match-statistics/0,40+1',(Missed Conversion),Canakaivata E.
109,https://www.flashscore.com/match/vwE34qPH/#/match-summary/match-statistics/0,40+2',(Try),Muntz C.
110,https://www.flashscore.com/match/vwE34qPH/#/match-summary/match-statistics/0,2ND HALF,(Conversion Goal),0 - 24
111,https://www.flashscore.com/match/vwE34qPH/#/match-summary/match-statistics/0,Muntz C.,57',(Penalty Goal)
112,https://www.flashscore.com/match/vwE34qPH/#/match-summary/match-statistics/0,Tabuavou I.,58',(Try)
113,https://www.flashscore.com/match/vwE34qPH/#/match-summary/match-statistics/0,Muntz C.,59',(Conversion Goal)
114,https://www.flashscore.com/match/vwE34qPH/#/match-summary/match-statistics/0,Derenalagi M.,71',(Try)
115,https://www.flashscore.com/match/vwE34qPH/#/match-summary/match-statistics/0,Muntz C.,71',(Conversion Goal)
116,https://www.flashscore.com/match/vwE34qPH/#/match-summary/match-statistics/0,Masi I.,77',(Try)
117,https://www.flashscore.com/match/vwE34qPH/#/match-summary/match-statistics/0,Muntz C.,78',(Conversion Goal)
118,https://www.flashscore.com/match/QTnMMQvn/#/match-summary/match-statistics/0,18 - 8,1ST HALF,4'
119,https://www.flashscore.com/match/QTnMMQvn/#/match-summary/match-statistics/0,(Penalty Goal),Nelson P.,7'
120,https://www.flashscore.com/match/QTnMMQvn/#/match-summary/match-statistics/0,(Penalty Goal),Carty L.,9'
121,https://www.flashscore.com/match/QTnMMQvn/#/match-summary/match-statistics/0,(Try),Mooneyham C.,15'
122,https://www.flashscore.com/match/QTnMMQvn/#/match-summary/match-statistics/0,(Try),Mooneyham C.,26'
123,https://www.flashscore.com/match/QTnMMQvn/#/match-summary/match-statistics/0,(Try),Benn N.,38'
124,https://www.flashscore.com/match/QTnMMQvn/#/match-summary/match-statistics/0,(Try),Wilson M.,2ND HALF
125,https://www.flashscore.com/match/QTnMMQvn/#/match-summary/match-statistics/0,42',10 - 7,Oworu M.
126,https://www.flashscore.com/match/QTnMMQvn/#/match-summary/match-statistics/0,47',Kelly I.,Martinez C.
127,https://www.flashscore.com/match/QTnMMQvn/#/match-summary/match-statistics/0,Carty L.,48',(Penalty Goal)
128,https://www.flashscore.com/match/QTnMMQvn/#/match-summary/match-statistics/0,Pifeleti K.,55',(Try)
129,https://www.flashscore.com/match/QTnMMQvn/#/match-summary/match-statistics/0,Carty L.,56',(Conversion Goal)
130,https://www.flashscore.com/match/QTnMMQvn/#/match-summary/match-statistics/0,Coats C.,56',McMullin T.
131,https://www.flashscore.com/match/QTnMMQvn/#/match-summary/match-statistics/0,Coats C.,60',(Try)
132,https://www.flashscore.com/match/QTnMMQvn/#/match-summary/match-statistics/0,Nelson P.,61',(Conversion Goal)
133,https://www.flashscore.com/match/QTnMMQvn/#/match-summary/match-statistics/0,Helu V.,61',Daniel C.
134,https://www.flashscore.com/match/QTnMMQvn/#/match-summary/match-statistics/0,Keith C.,61',Young C.
135,https://www.flashscore.com/match/QTnMMQvn/#/match-summary/match-statistics/0,Kullen D.,61',Maughan A.
136,https://www.flashscore.com/match/QTnMMQvn/#/match-summary/match-statistics/0,McNulty S.,63',Pifeleti K.
137,https://www.flashscore.com/match/QTnMMQvn/#/match-summary/match-statistics/0,Besag D.,64',Boni T.
138,https://www.flashscore.com/match/QTnMMQvn/#/match-summary/match-statistics/0,Sears-Duru D.,66',Martinez C.
139,https://www.flashscore.com/match/QTnMMQvn/#/match-summary/match-statistics/0,Dewy,66',Quattrin A.
140,https://www.flashscore.com/match/QTnMMQvn/#/match-summary/match-statistics/0,Tu'avao T.,66',Fa'anana Schultz J.
141,https://www.flashscore.com/match/QTnMMQvn/#/match-summary/match-statistics/0,Stockwood J.,70',Duguid K.
142,https://www.flashscore.com/match/QTnMMQvn/#/match-summary/match-statistics/0,McVeigh E.,73',Smith J.
143,https://www.flashscore.com/match/QTnMMQvn/#/match-summary/match-statistics/0,Turnbull J.,77',Iscaro J.
144,https://www.flashscore.com/match/INPf65f5/#/match-summary/match-statistics/0,17 - 0,1ST HALF,18'
145,https://www.flashscore.com/match/INPf65f5/#/match-summary/match-statistics/0,(Try),Ili S.,19'
146,https://www.flashscore.com/match/INPf65f5/#/match-summary/match-statistics/0,(Conversion Goal),Leuila D.,21'
147,https://www.flashscore.com/match/INPf65f5/#/match-summary/match-statistics/0,(Try),Tuitama T.,22'
148,https://www.flashscore.com/match/INPf65f5/#/match-summary/match-statistics/0,(Conversion Goal),Leuila D.,29'
