,date,home_team,away_team,home_score,away_score,url
0,16.03. 20:00,France,England,33,31,https://www.flashscore.com/match/A7B43AuN/#/match-summary
1,16.03. 16:45,Ireland,Scotland,17,13,https://www.flashscore.com/match/GpC04jQG/#/match-summary
2,16.03. 14:15,Wales,Italy,21,24,https://www.flashscore.com/match/xfDd5WAA/#/match-summary
3,10.03. 15:00,Wales,France,24,45,https://www.flashscore.com/match/KIIi6Ce4/#/match-summary
4,09.03. 16:45,England,Ireland,23,22,https://www.flashscore.com/match/tSJm7htb/#/match-summary
5,09.03. 14:15,Italy,Scotland,31,29,https://www.flashscore.com/match/n5Kq8YQi/#/match-summary
6,25.02. 15:00,France,Italy,13,13,https://www.flashscore.com/match/Y1Gu9EBo/#/match-summary
7,24.02. 16:45,Scotland,England,30,21,https://www.flashscore.com/match/WdxcpVYp/#/match-summary
8,24.02. 14:15,Ireland,Wales,31,7,https://www.flashscore.com/match/UmjVlBQT/#/match-summary
9,11.02. 15:00,Ireland,Italy,36,0,https://www.flashscore.com/match/zDySkiBN/#/match-summary
10,10.02. 16:45,England,Wales,16,14,https://www.flashscore.com/match/dMxOjXeH/#/match-summary
11,10.02. 14:15,Scotland,France,16,20,https://www.flashscore.com/match/EcmJiDtB/#/match-summary
12,03.02. 16:45,Wales,Scotland,26,27,https://www.flashscore.com/match/0fqFhgR4/#/match-summary
13,03.02. 14:15,Italy,England,24,27,https://www.flashscore.com/match/6XqBgZBb/#/match-summary
14,02.02. 20:00,France,Ireland,17,38,https://www.flashscore.com/match/Sto7fFdh/#/match-summary
