,url,Attribute,Home Result,Away Result
0,https://www.flashscore.com/match/OMwZICPP/#/match-summary/match-statistics/0,Tries,1,0
1,https://www.flashscore.com/match/OMwZICPP/#/match-summary/match-statistics/0,Conversion Goals,0,0
2,https://www.flashscore.com/match/OMwZICPP/#/match-summary/match-statistics/0,Conversion Goal Attempts,1,0
3,https://www.flashscore.com/match/OMwZICPP/#/match-summary/match-statistics/0,Penalty Goals,2,4
4,https://www.flashscore.com/match/OMwZICPP/#/match-summary/match-statistics/0,Penalty Goal Attempts,3,4
5,https://www.flashscore.com/match/OMwZICPP/#/match-summary/match-statistics/0,Goals %,50,100
6,https://www.flashscore.com/match/OMwZICPP/#/match-summary/match-statistics/0,Dropped Goals,0,0
7,https://www.flashscore.com/match/OMwZICPP/#/match-summary/match-statistics/0,Dropped Goal Attempts,0,0
8,https://www.flashscore.com/match/OMwZICPP/#/match-summary/match-statistics/0,Total Runs,148,83
9,https://www.flashscore.com/match/OMwZICPP/#/match-summary/match-statistics/0,Metres Run With Ball,481,361
10,https://www.flashscore.com/match/OMwZICPP/#/match-summary/match-statistics/0,Yellow Cards,1,2
11,https://www.flashscore.com/match/OMwZICPP/#/match-summary/match-statistics/0,Red Cards,1,0
12,https://www.flashscore.com/match/t2Q0EWXt/#/match-summary/match-statistics/0,Tries,2,2
13,https://www.flashscore.com/match/t2Q0EWXt/#/match-summary/match-statistics/0,Conversion Goals,2,2
14,https://www.flashscore.com/match/t2Q0EWXt/#/match-summary/match-statistics/0,Conversion Goal Attempts,2,2
15,https://www.flashscore.com/match/t2Q0EWXt/#/match-summary/match-statistics/0,Penalty Goals,3,4
16,https://www.flashscore.com/match/t2Q0EWXt/#/match-summary/match-statistics/0,Penalty Goal Attempts,4,4
17,https://www.flashscore.com/match/t2Q0EWXt/#/match-summary/match-statistics/0,Goals %,83,100
18,https://www.flashscore.com/match/t2Q0EWXt/#/match-summary/match-statistics/0,Dropped Goals,0,0
19,https://www.flashscore.com/match/t2Q0EWXt/#/match-summary/match-statistics/0,Dropped Goal Attempts,0,0
20,https://www.flashscore.com/match/t2Q0EWXt/#/match-summary/match-statistics/0,Total Runs,136,89
21,https://www.flashscore.com/match/t2Q0EWXt/#/match-summary/match-statistics/0,Metres Run With Ball,406,286
22,https://www.flashscore.com/match/8rXhf5GA/#/match-summary/match-statistics/0,Tries,0,1
23,https://www.flashscore.com/match/8rXhf5GA/#/match-summary/match-statistics/0,Conversion Goals,0,1
24,https://www.flashscore.com/match/8rXhf5GA/#/match-summary/match-statistics/0,Conversion Goal Attempts,0,1
25,https://www.flashscore.com/match/8rXhf5GA/#/match-summary/match-statistics/0,Penalty Goals,4,3
26,https://www.flashscore.com/match/8rXhf5GA/#/match-summary/match-statistics/0,Penalty Goal Attempts,4,3
27,https://www.flashscore.com/match/8rXhf5GA/#/match-summary/match-statistics/0,Goals %,100,100
28,https://www.flashscore.com/match/8rXhf5GA/#/match-summary/match-statistics/0,Dropped Goals,1,0
29,https://www.flashscore.com/match/8rXhf5GA/#/match-summary/match-statistics/0,Dropped Goal Attempts,1,0
30,https://www.flashscore.com/match/8rXhf5GA/#/match-summary/match-statistics/0,Total Runs,83,69
31,https://www.flashscore.com/match/8rXhf5GA/#/match-summary/match-statistics/0,Metres Run With Ball,236,190
32,https://www.flashscore.com/match/zHoqMSei/#/match-summary/match-statistics/0,Tries,0,7
33,https://www.flashscore.com/match/zHoqMSei/#/match-summary/match-statistics/0,Conversion Goals,0,3
34,https://www.flashscore.com/match/zHoqMSei/#/match-summary/match-statistics/0,Conversion Goal Attempts,0,7
35,https://www.flashscore.com/match/zHoqMSei/#/match-summary/match-statistics/0,Penalty Goals,2,1
36,https://www.flashscore.com/match/zHoqMSei/#/match-summary/match-statistics/0,Penalty Goal Attempts,2,1
37,https://www.flashscore.com/match/zHoqMSei/#/match-summary/match-statistics/0,Goals %,100,50
38,https://www.flashscore.com/match/zHoqMSei/#/match-summary/match-statistics/0,Dropped Goals,0,0
39,https://www.flashscore.com/match/zHoqMSei/#/match-summary/match-statistics/0,Dropped Goal Attempts,0,0
40,https://www.flashscore.com/match/zHoqMSei/#/match-summary/match-statistics/0,Total Runs,150,164
41,https://www.flashscore.com/match/zHoqMSei/#/match-summary/match-statistics/0,Metres Run With Ball,511,651
42,https://www.flashscore.com/match/zHoqMSei/#/match-summary/match-statistics/0,Yellow Cards,0,1
43,https://www.flashscore.com/match/6mOxLYKo/#/match-summary/match-statistics/0,Tries,3,4
44,https://www.flashscore.com/match/6mOxLYKo/#/match-summary/match-statistics/0,Conversion Goals,2,3
