,url,Attribute,Home Result,Away Result
0,https://www.flashscore.com/match/48RLI9fA/#/match-summary/match-statistics/0,Tries,3,1
1,https://www.flashscore.com/match/48RLI9fA/#/match-summary/match-statistics/0,Conversion Goals,2,1
2,https://www.flashscore.com/match/48RLI9fA/#/match-summary/match-statistics/0,Conversion Goal Attempts,3,1
3,https://www.flashscore.com/match/48RLI9fA/#/match-summary/match-statistics/0,Penalty Goals,1,4
4,https://www.flashscore.com/match/48RLI9fA/#/match-summary/match-statistics/0,Penalty Goal Attempts,1,4
5,https://www.flashscore.com/match/48RLI9fA/#/match-summary/match-statistics/0,Goals %,75,100
6,https://www.flashscore.com/match/48RLI9fA/#/match-summary/match-statistics/0,Dropped Goals,0,0
7,https://www.flashscore.com/match/48RLI9fA/#/match-summary/match-statistics/0,Dropped Goal Attempts,0,0
8,https://www.flashscore.com/match/48RLI9fA/#/match-summary/match-statistics/0,Metres Run With Ball,322,312
9,https://www.flashscore.com/match/neZhHHz3/#/match-summary/match-statistics/0,Tries,9,2
10,https://www.flashscore.com/match/neZhHHz3/#/match-summary/match-statistics/0,Conversion Goals,7,2
11,https://www.flashscore.com/match/neZhHHz3/#/match-summary/match-statistics/0,Conversion Goal Attempts,9,2
12,https://www.flashscore.com/match/neZhHHz3/#/match-summary/match-statistics/0,Penalty Goals,0,0
13,https://www.flashscore.com/match/neZhHHz3/#/match-summary/match-statistics/0,Penalty Goal Attempts,0,1
14,https://www.flashscore.com/match/neZhHHz3/#/match-summary/match-statistics/0,Goals %,78,67
15,https://www.flashscore.com/match/neZhHHz3/#/match-summary/match-statistics/0,Dropped Goals,0,0
16,https://www.flashscore.com/match/neZhHHz3/#/match-summary/match-statistics/0,Dropped Goal Attempts,0,0
17,https://www.flashscore.com/match/neZhHHz3/#/match-summary/match-statistics/0,Total Runs,90,105
18,https://www.flashscore.com/match/neZhHHz3/#/match-summary/match-statistics/0,Metres Run With Ball,385,372
19,https://www.flashscore.com/match/E7foxQ4F/#/match-summary/match-statistics/0,0 - 0,1ST HALF,-
20,https://www.flashscore.com/match/E7foxQ4F/#/match-summary/match-statistics/0,22 - 7,2ND HALF,41'
21,https://www.flashscore.com/match/E7foxQ4F/#/match-summary/match-statistics/0,(Try),Todua A.,42'
22,https://www.flashscore.com/match/E7foxQ4F/#/match-summary/match-statistics/0,(Conversion Goal),Matkava L.,56'
23,https://www.flashscore.com/match/E7foxQ4F/#/match-summary/match-statistics/0,61',Mamaiashvili G.,Havili W.
24,https://www.flashscore.com/match/E7foxQ4F/#/match-summary/match-statistics/0,(Try),61',62'
25,https://www.flashscore.com/match/E7foxQ4F/#/match-summary/match-statistics/0,(Conversion Goal),Matkava L.,68'
26,https://www.flashscore.com/match/E7foxQ4F/#/match-summary/match-statistics/0,(Penalty Goal),Matkava L.,72'
27,https://www.flashscore.com/match/E7foxQ4F/#/match-summary/match-statistics/0,(Try),Tabutsadze A.,74'
28,https://www.flashscore.com/match/E7foxQ4F/#/match-summary/match-statistics/0,80+1',Nioradze L.,Ahokovi T.
29,https://www.flashscore.com/match/E7foxQ4F/#/match-summary/match-statistics/0,80+2',(Try),Pellegrini P.
30,https://www.flashscore.com/match/rL3iSjkK/#/match-summary/match-statistics/0,Tries,4,1
31,https://www.flashscore.com/match/rL3iSjkK/#/match-summary/match-statistics/0,Conversion Goals,2,1
32,https://www.flashscore.com/match/rL3iSjkK/#/match-summary/match-statistics/0,Conversion Goal Attempts,4,1
33,https://www.flashscore.com/match/rL3iSjkK/#/match-summary/match-statistics/0,Penalty Goals,1,2
34,https://www.flashscore.com/match/rL3iSjkK/#/match-summary/match-statistics/0,Penalty Goal Attempts,2,2
35,https://www.flashscore.com/match/rL3iSjkK/#/match-summary/match-statistics/0,Goals %,50,100
36,https://www.flashscore.com/match/rL3iSjkK/#/match-summary/match-statistics/0,Dropped Goals,0,0
37,https://www.flashscore.com/match/rL3iSjkK/#/match-summary/match-statistics/0,Dropped Goal Attempts,0,0
38,https://www.flashscore.com/match/rL3iSjkK/#/match-summary/match-statistics/0,Total Runs,103,101
39,https://www.flashscore.com/match/rL3iSjkK/#/match-summary/match-statistics/0,Metres Run With Ball,431,289
40,https://www.flashscore.com/match/rT9QgYGl/#/match-summary/match-statistics/0,6 - 17,1ST HALF,12'
41,https://www.flashscore.com/match/rT9QgYGl/#/match-summary/match-statistics/0,(Penalty Goal),Garbisi P.,15'
42,https://www.flashscore.com/match/rT9QgYGl/#/match-summary/match-statistics/0,(Penalty Goal),Barrett B.,16'
43,https://www.flashscore.com/match/rT9QgYGl/#/match-summary/match-statistics/0,(Penalty Goal),Garbisi P.,19'
44,https://www.flashscore.com/match/rT9QgYGl/#/match-summary/match-statistics/0,24',Barrett S.,Roigard C.
45,https://www.flashscore.com/match/rT9QgYGl/#/match-summary/match-statistics/0,25',(Try),Barrett B.
46,https://www.flashscore.com/match/rT9QgYGl/#/match-summary/match-statistics/0,39',(Conversion Goal),Jordan W.
47,https://www.flashscore.com/match/rT9QgYGl/#/match-summary/match-statistics/0,40',(Try),Barrett B.
48,https://www.flashscore.com/match/rT9QgYGl/#/match-summary/match-statistics/0,2ND HALF,(Conversion Goal),5 - 12
