,url,Attribute,Home Result,Away Result
0,https://www.flashscore.com/match/O8SxhIp8/#/match-summary/match-statistics/0,Tries,7,1
1,https://www.flashscore.com/match/O8SxhIp8/#/match-summary/match-statistics/0,Conversion Goals,5,1
2,https://www.flashscore.com/match/O8SxhIp8/#/match-summary/match-statistics/0,Conversion Goal Attempts,7,1
3,https://www.flashscore.com/match/O8SxhIp8/#/match-summary/match-statistics/0,Penalty Goals,1,0
4,https://www.flashscore.com/match/O8SxhIp8/#/match-summary/match-statistics/0,Penalty Goal Attempts,2,0
5,https://www.flashscore.com/match/O8SxhIp8/#/match-summary/match-statistics/0,Goals %,67,100
6,https://www.flashscore.com/match/O8SxhIp8/#/match-summary/match-statistics/0,Dropped Goals,0,0
7,https://www.flashscore.com/match/O8SxhIp8/#/match-summary/match-statistics/0,Dropped Goal Attempts,0,0
8,https://www.flashscore.com/match/O8SxhIp8/#/match-summary/match-statistics/0,Total Runs,141,85
9,https://www.flashscore.com/match/O8SxhIp8/#/match-summary/match-statistics/0,Metres Run With Ball,766,217
10,https://www.flashscore.com/match/O8SxhIp8/#/match-summary/match-statistics/0,Yellow Cards,0,2
11,https://www.flashscore.com/match/O8SxhIp8/#/match-summary/match-statistics/0,Red Cards,0,1
12,https://www.flashscore.com/match/A5veTY77/#/match-summary/match-statistics/0,Tries,5,1
13,https://www.flashscore.com/match/A5veTY77/#/match-summary/match-statistics/0,Conversion Goals,4,1
14,https://www.flashscore.com/match/A5veTY77/#/match-summary/match-statistics/0,Conversion Goal Attempts,5,1
15,https://www.flashscore.com/match/A5veTY77/#/match-summary/match-statistics/0,Penalty Goals,0,2
16,https://www.flashscore.com/match/A5veTY77/#/match-summary/match-statistics/0,Penalty Goal Attempts,0,2
17,https://www.flashscore.com/match/A5veTY77/#/match-summary/match-statistics/0,Goals %,80,100
18,https://www.flashscore.com/match/A5veTY77/#/match-summary/match-statistics/0,Dropped Goals,0,0
19,https://www.flashscore.com/match/A5veTY77/#/match-summary/match-statistics/0,Dropped Goal Attempts,0,0
20,https://www.flashscore.com/match/A5veTY77/#/match-summary/match-statistics/0,Total Runs,61,90
21,https://www.flashscore.com/match/A5veTY77/#/match-summary/match-statistics/0,Metres Run With Ball,611,304
22,https://www.flashscore.com/match/A5veTY77/#/match-summary/match-statistics/0,Yellow Cards,1,0
23,https://www.flashscore.com/match/WEuiUEh1/#/match-summary/match-statistics/0,Tries,4,3
