,url,Attribute,Home Result,Away Result
0,https://www.flashscore.com/match/A7B43AuN/#/match-summary/match-statistics/0,Tries,3,4
1,https://www.flashscore.com/match/A7B43AuN/#/match-summary/match-statistics/0,Conversion Goals,3,4
2,https://www.flashscore.com/match/A7B43AuN/#/match-summary/match-statistics/0,Conversion Goal Attempts,3,4
3,https://www.flashscore.com/match/A7B43AuN/#/match-summary/match-statistics/0,Penalty Goals,4,1
4,https://www.flashscore.com/match/A7B43AuN/#/match-summary/match-statistics/0,Penalty Goal Attempts,5,1
5,https://www.flashscore.com/match/A7B43AuN/#/match-summary/match-statistics/0,Goals %,88,100
6,https://www.flashscore.com/match/A7B43AuN/#/match-summary/match-statistics/0,Dropped Goals,0,0
7,https://www.flashscore.com/match/A7B43AuN/#/match-summary/match-statistics/0,Dropped Goal Attempts,0,0
8,https://www.flashscore.com/match/A7B43AuN/#/match-summary/match-statistics/0,Total Runs,125,65
9,https://www.flashscore.com/match/A7B43AuN/#/match-summary/match-statistics/0,Metres Run With Ball,459,290
10,https://www.flashscore.com/match/GpC04jQG/#/match-summary/match-statistics/0,Tries,2,1
11,https://www.flashscore.com/match/GpC04jQG/#/match-summary/match-statistics/0,Conversion Goals,2,1
12,https://www.flashscore.com/match/GpC04jQG/#/match-summary/match-statistics/0,Conversion Goal Attempts,2,1
13,https://www.flashscore.com/match/GpC04jQG/#/match-summary/match-statistics/0,Penalty Goals,1,2
14,https://www.flashscore.com/match/GpC04jQG/#/match-summary/match-statistics/0,Penalty Goal Attempts,2,2
15,https://www.flashscore.com/match/GpC04jQG/#/match-summary/match-statistics/0,Goals %,75,100
16,https://www.flashscore.com/match/GpC04jQG/#/match-summary/match-statistics/0,Dropped Goals,0,0
17,https://www.flashscore.com/match/GpC04jQG/#/match-summary/match-statistics/0,Dropped Goal Attempts,0,0
18,https://www.flashscore.com/match/GpC04jQG/#/match-summary/match-statistics/0,Total Runs,152,93
19,https://www.flashscore.com/match/GpC04jQG/#/match-summary/match-statistics/0,Metres Run With Ball,482,341
20,https://www.flashscore.com/match/GpC04jQG/#/match-summary/match-statistics/0,Yellow Cards,1,1
21,https://www.flashscore.com/match/xfDd5WAA/#/match-summary/match-statistics/0,Tries,3,2
22,https://www.flashscore.com/match/xfDd5WAA/#/match-summary/match-statistics/0,Conversion Goals,3,1
23,https://www.flashscore.com/match/xfDd5WAA/#/match-summary/match-statistics/0,Conversion Goal Attempts,3,2
24,https://www.flashscore.com/match/xfDd5WAA/#/match-summary/match-statistics/0,Penalty Goals,0,4
25,https://www.flashscore.com/match/xfDd5WAA/#/match-summary/match-statistics/0,Penalty Goal Attempts,0,4
26,https://www.flashscore.com/match/xfDd5WAA/#/match-summary/match-statistics/0,Goals %,100,83
27,https://www.flashscore.com/match/xfDd5WAA/#/match-summary/match-statistics/0,Dropped Goals,0,0
28,https://www.flashscore.com/match/xfDd5WAA/#/match-summary/match-statistics/0,Dropped Goal Attempts,0,0
29,https://www.flashscore.com/match/xfDd5WAA/#/match-summary/match-statistics/0,Total Runs,165,84
30,https://www.flashscore.com/match/xfDd5WAA/#/match-summary/match-statistics/0,Metres Run With Ball,428,305
31,https://www.flashscore.com/match/KIIi6Ce4/#/match-summary/match-statistics/0,Tries,3,5
32,https://www.flashscore.com/match/KIIi6Ce4/#/match-summary/match-statistics/0,Conversion Goals,3,4
33,https://www.flashscore.com/match/KIIi6Ce4/#/match-summary/match-statistics/0,Conversion Goal Attempts,3,5
34,https://www.flashscore.com/match/KIIi6Ce4/#/match-summary/match-statistics/0,Penalty Goals,1,4
35,https://www.flashscore.com/match/KIIi6Ce4/#/match-summary/match-statistics/0,Penalty Goal Attempts,1,4
