date,home_team,away_team,home_score,away_score,url
28.10. 20:00,New Zealand,South Africa,11,12,https://www.flashscore.com/match/OMwZICPP/#/match-summary
27.10. 20:00,Argentina,England,23,26,https://www.flashscore.com/match/t2Q0EWXt/#/match-summary
21.10. 20:00,England,South Africa,15,16,https://www.flashscore.com/match/8rXhf5GA/#/match-summary
20.10. 20:00,Argentina,New Zealand,6,44,https://www.flashscore.com/match/zHoqMSei/#/match-summary
15.10. 20:00,France,South Africa,28,29,https://www.flashscore.com/match/6mOxLYKo/#/match-summary
15.10. 16:00,England,Fiji,30,24,https://www.flashscore.com/match/b70LV1Pj/#/match-summary
14.10. 20:00,Ireland,New Zealand,24,28,https://www.flashscore.com/match/pvNtKhzh/#/match-summary
14.10. 16:00,Wales,Argentina,17,29,https://www.flashscore.com/match/I5EoEbx5/#/match-summary
08.10. 20:00,Fiji,Portugal,23,24,https://www.flashscore.com/match/44cOyXaS/#/match-summary
08.10. 16:45,Tonga,Romania,45,24,https://www.flashscore.com/match/MqYLQCsk/#/match-summary
08.10. 12:00,Japan,Argentina,27,39,https://www.flashscore.com/match/fclGEsij/#/match-summary
07.10. 20:00,Ireland,Scotland,36,14,https://www.flashscore.com/match/xt8qK3TS/#/match-summary
07.10. 16:45,England,Samoa,18,17,https://www.flashscore.com/match/rJ8uLqEM/#/match-summary
07.10. 14:00,Wales,Georgia,43,19,https://www.flashscore.com/match/fLOosLSR/#/match-summary
06.10. 20:00,France,Italy,60,7,https://www.flashscore.com/match/4S9yMPbG/#/match-summary
05.10. 20:00,New Zealand,Uruguay,73,0,https://www.flashscore.com/match/AXvrE1Qb/#/match-summary
01.10. 20:00,South Africa,Tonga,49,18,https://www.flashscore.com/match/SMYHRhSr/#/match-summary
01.10. 16:45,Australia,Portugal,34,14,https://www.flashscore.com/match/j1gKxDpM/#/match-summary
30.09. 20:00,Scotland,Romania,84,0,https://www.flashscore.com/match/ChFWURRl/#/match-summary
30.09. 16:45,Fiji,Georgia,17,12,https://www.flashscore.com/match/CdZtr1DL/#/match-summary
30.09. 14:00,Argentina,Chile,59,5,https://www.flashscore.com/match/fVHuosT3/#/match-summary
29.09. 20:00,New Zealand,Italy,96,17,https://www.flashscore.com/match/niFWM5qA/#/match-summary
28.09. 20:00,Japan,Samoa,28,22,https://www.flashscore.com/match/80GSNoU3/#/match-summary
27.09. 16:45,Uruguay,Namibia,36,26,https://www.flashscore.com/match/boZeyUlL/#/match-summary
24.09. 20:00,Wales,Australia,40,6,https://www.flashscore.com/match/EwHOOREc/#/match-summary
24.09. 16:45,Scotland,Tonga,45,17,https://www.flashscore.com/match/jcBlqLcG/#/match-summary
23.09. 20:00,South Africa,Ireland,8,13,https://www.flashscore.com/match/0zDKP7ai/#/match-summary
23.09. 16:45,England,Chile,71,0,https://www.flashscore.com/match/08IynNDc/#/match-summary
23.09. 13:00,Georgia,Portugal,18,18,https://www.flashscore.com/match/8x4FwgVF/#/match-summary
22.09. 16:45,Argentina,Samoa,19,10,https://www.flashscore.com/match/KvzY147p/#/match-summary
21.09. 20:00,France,Namibia,96,0,https://www.flashscore.com/match/prVixAZE/#/match-summary
20.09. 16:45,Italy,Uruguay,38,17,https://www.flashscore.com/match/dUzvFsBh/#/match-summary
17.09. 20:00,England,Japan,34,12,https://www.flashscore.com/match/ldm66paT/#/match-summary
17.09. 16:45,Australia,Fiji,15,22,https://www.flashscore.com/match/A5l27QqN/#/match-summary
17.09. 14:00,South Africa,Romania,76,0,https://www.flashscore.com/match/fHKRV7Cr/#/match-summary
16.09. 20:00,Ireland,Tonga,59,16,https://www.flashscore.com/match/YLGqp1rA/#/match-summary
16.09. 16:45,Wales,Portugal,28,8,https://www.flashscore.com/match/Uo5BvZF9/#/match-summary
16.09. 14:00,Samoa,Chile,43,10,https://www.flashscore.com/match/n5EXn3bi/#/match-summary
15.09. 20:00,New Zealand,Namibia,71,3,https://www.flashscore.com/match/2JumwjK8/#/match-summary
14.09. 20:00,France,Uruguay,27,12,https://www.flashscore.com/match/E5oZFNen/#/match-summary
10.09. 20:00,Wales,Fiji,32,26,https://www.flashscore.com/match/Stac86UG/#/match-summary
10.09. 16:45,South Africa,Scotland,18,3,https://www.flashscore.com/match/Eweg9nFA/#/match-summary
10.09. 12:00,Japan,Chile,42,12,https://www.flashscore.com/match/p0zkOJLj/#/match-summary
09.09. 20:00,England,Argentina,27,10,https://www.flashscore.com/match/tQdoB8pb/#/match-summary
09.09. 17:00,Australia,Georgia,35,15,https://www.flashscore.com/match/Y5zwqsbF/#/match-summary
09.09. 14:30,Ireland,Romania,82,8,https://www.flashscore.com/match/h8Yazl4R/#/match-summary
09.09. 12:00,Italy,Namibia,52,8,https://www.flashscore.com/match/OStqvW42/#/match-summary
08.09. 20:15,France,New Zealand,27,13,https://www.flashscore.com/match/Ol2tClVi/#/match-summary
18.11. 15:30,USA,Portugal,16,16,https://www.flashscore.com/match/beEzmrKM/#/match-summary
18.11. 13:00,Hong Kong,Kenya,22,18,https://www.flashscore.com/match/phAWmO4G/#/match-summary
12.11. 14:30,USA,Hong Kong,49,7,https://www.flashscore.com/match/2TKRl4kA/#/match-summary
12.11. 12:00,Portugal,Kenya,85,0,https://www.flashscore.com/match/OxMNkpz4/#/match-summary
06.11. 14:30,Portugal,Hong Kong,42,14,https://www.flashscore.com/match/U17KjQKc/#/match-summary
06.11. 12:00,USA,Kenya,68,14,https://www.flashscore.com/match/jB8Gi65i/#/match-summary
