home_team,away_team,home_score,away_score,Home_tries,Away_tries,Home_conv,Away_conv,Home_conv_att,Away_conv_att,Home_pg,Away_pg,Home_pg_att,Away_pg_att,Home_dg,Away_dg,Home_dg_att,Away_dg_att,date,home_num,away_num
France,New Zealand,27,13,2.0,2.0,1.0,0.0,2.0,2.0,5.0,1.0,7.0,1.0,0.0,0.0,0.0,0.0,2023-09-08,8,17
Italy,Namibia,52,8,7.0,1.0,7.0,0.0,7.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,2023-09-09,12,15
Ireland,Romania,82,8,12.0,1.0,11.0,0.0,12.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2023-09-09,11,20
Australia,Georgia,35,15,4.0,2.0,3.0,1.0,4.0,2.0,3.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,2023-09-09,1,9
England,Argentina,27,10,0.0,1.0,0.0,1.0,0.0,1.0,6.0,1.0,8.0,2.0,3.0,0.0,3.0,0.0,2023-09-09,6,0
Wales,Fiji,32,26,4.0,4.0,3.0,3.0,4.0,4.0,2.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,2023-09-10,31,7
Japan,Chile,42,12,6.0,2.0,6.0,1.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-09-10,13,5
South Africa,Scotland,18,3,2.0,0.0,1.0,0.0,2.0,0.0,2.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,2023-09-10,23,22
France,Uruguay,27,12,3.0,2.0,3.0,1.0,3.0,2.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2023-09-14,8,30
New Zealand,Namibia,71,3,11.0,0.0,8.0,0.0,11.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2023-09-15,17,15
Samoa,Chile,43,10,5.0,1.0,3.0,1.0,5.0,1.0,4.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,2023-09-16,21,5
Wales,Portugal,28,8,4.0,1.0,4.0,0.0,4.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,2023-09-16,31,19
