date,home_team,away_team,home_score,away_score,Home_tries,Away_tries,Home_conv,Away_conv,Home_conv_att,Away_conv_att,Home_pg,Away_pg,Home_pg_att,Away_pg_att,Home_dg,Away_dg,Home_dg_att,Away_dg_att,Home_pg_dg,Away_pg_dg
2023-09-08,France,New Zealand,27,13,2.0,2.0,1.0,0.0,2.0,2.0,5.0,1.0,7.0,1.0,0.0,0.0,0.0,0.0,5.0,1.0
2023-09-09,Italy,Namibia,52,8,7.0,1.0,7.0,0.0,7.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0
2023-09-09,Ireland,Romania,82,8,12.0,1.0,11.0,0.0,12.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
2023-09-09,Australia,Georgia,35,15,4.0,2.0,3.0,1.0,4.0,2.0,3.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0
2023-09-09,England,Argentina,27,10,0.0,1.0,0.0,1.0,0.0,1.0,6.0,1.0,8.0,2.0,3.0,0.0,3.0,0.0,9.0,1.0
2023-09-10,Wales,Fiji,32,26,4.0,4.0,3.0,3.0,4.0,4.0,2.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0
2023-09-10,Japan,Chile,42,12,6.0,2.0,6.0,1.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-09-10,South Africa,Scotland,18,3,2.0,0.0,1.0,0.0,2.0,0.0,2.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0
2023-09-14,France,Uruguay,27,12,3.0,2.0,3.0,1.0,3.0,2.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
2023-09-15,New Zealand,Namibia,71,3,11.0,0.0,8.0,0.0,11.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
2023-09-16,Samoa,Chile,43,10,5.0,1.0,3.0,1.0,5.0,1.0,4.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0
2023-09-16,Wales,Portugal,28,8,4.0,1.0,4.0,0.0,4.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0
2023-09-16,Ireland,Tonga,59,16,8.0,1.0,8.0,1.0,8.0,1.0,1.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,3.0
2023-09-17,Australia,Fiji,15,22,2.0,1.0,1.0,1.0,2.0,1.0,1.0,5.0,1.0,7.0,0.0,0.0,0.0,0.0,1.0,5.0
2023-09-17,England,Japan,34,12,4.0,0.0,4.0,0.0,4.0,0.0,2.0,4.0,3.0,4.0,0.0,0.0,0.0,0.0,2.0,4.0
2023-09-17,South Africa,Romania,76,0,12.0,0.0,8.0,0.0,11.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-09-20,Italy,Uruguay,38,17,5.0,2.0,5.0,2.0,5.0,1.0,1.0,0.0,1.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0
2023-09-21,France,Namibia,96,0,14.0,0.0,13.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-09-22,Argentina,Samoa,19,10,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,5.0,3.0,0.0,0.0,0.0,0.0,4.0,1.0
2023-09-23,Georgia,Portugal,18,18,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,2.0,2.0
