,mean,sd,hdi_3%,hdi_97%,r_hat
home,0.17,0.14,-0.06,0.45,1.01
atts_mu,1.52,0.37,0.88,2.26,1.06
atts[Argentina],1.65,0.4,0.93,2.41,1.05
atts[Australia],1.63,0.4,0.91,2.4,1.05
atts[Canada],1.4,0.4,0.63,2.11,1.05
atts[England],1.52,0.38,0.79,2.22,1.06
atts[Fiji],1.61,0.39,0.89,2.35,1.06
atts[France],1.65,0.39,0.97,2.42,1.06
atts[Georgia],1.47,0.42,0.73,2.27,1.05
atts[Ireland],1.55,0.39,0.89,2.34,1.06
atts[Italy],1.44,0.39,0.72,2.18,1.05
atts[Japan],1.69,0.41,0.98,2.46,1.06
atts[New Zealand],1.66,0.4,0.92,2.38,1.06
atts[Portugal],1.5,0.41,0.8,2.33,1.05
atts[Samoa],1.48,0.39,0.77,2.21,1.05
atts[Scotland],1.72,0.4,1.01,2.48,1.06
atts[South Africa],1.64,0.4,0.98,2.43,1.06
atts[Spain],1.45,0.41,0.69,2.23,1.05
atts[Tonga],1.42,0.4,0.73,2.21,1.05
atts[USA],1.38,0.4,0.66,2.16,1.05
atts[Uruguay],1.46,0.42,0.74,2.28,1.05
atts[Wales],1.35,0.38,0.65,2.06,1.05
defs_mu,1.54,0.38,0.78,2.19,1.07
defs[Argentina],1.54,0.4,0.71,2.23,1.06
defs[Australia],1.6,0.39,0.9,2.38,1.06
defs[Canada],1.72,0.41,0.99,2.54,1.06
defs[England],1.47,0.39,0.68,2.16,1.06
defs[Fiji],1.56,0.4,0.8,2.28,1.06
defs[France],1.48,0.39,0.62,2.11,1.06
defs[Georgia],1.48,0.42,0.63,2.24,1.06
defs[Ireland],1.3,0.4,0.52,2.01,1.06
defs[Italy],1.59,0.39,0.82,2.3,1.06
defs[Japan],1.78,0.4,0.99,2.48,1.06
defs[New Zealand],1.37,0.4,0.58,2.1,1.07
defs[Portugal],1.77,0.42,0.99,2.57,1.06
defs[Samoa],1.67,0.4,0.95,2.47,1.06
defs[Scotland],1.5,0.39,0.72,2.22,1.06
defs[South Africa],1.23,0.41,0.38,1.91,1.06
defs[Spain],1.59,0.42,0.77,2.35,1.05
defs[Tonga],1.77,0.41,1.04,2.56,1.05
defs[USA],1.5,0.41,0.69,2.21,1.06
defs[Uruguay],1.58,0.42,0.79,2.39,1.06
defs[Wales],1.64,0.39,0.84,2.34,1.06
log_sigma_home_points,-1.02,0.14,-1.29,-0.75,1.01
log_sigma_away_points,-0.55,0.3,-1.03,-0.0,1.01
atts_sd,0.19,0.07,0.06,0.32,1.02
defs_sd,0.22,0.07,0.09,0.35,1.0
away_theta[0],21.13,3.88,13.89,28.3,1.01
away_theta[1],22.72,4.52,14.29,30.95,1.01
away_theta[2],29.32,5.95,18.58,40.27,1.01
away_theta[3],23.89,4.77,15.47,33.48,1.0
away_theta[4],17.16,3.27,11.15,23.33,1.01
away_theta[5],15.8,3.44,9.83,22.48,1.0
away_theta[6],14.48,3.1,9.14,20.59,1.01
away_theta[7],20.9,4.06,13.8,28.91,1.0
away_theta[8],18.9,3.78,11.98,26.12,1.01
away_theta[9],27.85,5.94,17.34,39.1,1.01
away_theta[10],20.98,4.08,13.37,28.48,1.01
away_theta[11],27.3,5.05,17.78,36.6,1.0
away_theta[12],22.19,4.42,14.8,31.19,1.01
away_theta[13],20.86,4.56,13.0,29.51,1.01
away_theta[14],20.33,3.56,13.03,26.71,1.01
away_theta[15],27.23,5.4,17.45,37.58,1.01
away_theta[16],18.25,3.38,12.11,24.73,1.01
away_theta[17],19.5,3.64,13.15,26.99,1.0
away_theta[18],16.52,3.54,9.79,23.09,1.01
away_theta[19],24.78,4.4,16.63,33.35,1.01
away_theta[20],18.25,3.38,12.11,24.73,1.01
away_theta[21],19.5,3.64,13.15,26.99,1.0
away_theta[22],16.52,3.54,9.79,23.09,1.01
away_theta[23],24.78,4.4,16.63,33.35,1.01
away_theta[24],26.2,5.46,16.83,36.94,1.01
away_theta[25],20.97,4.17,12.93,28.39,1.01
away_theta[26],20.97,4.17,12.93,28.39,1.01
away_theta[27],26.2,5.46,16.83,36.94,1.01
away_theta[28],21.49,4.66,13.22,30.68,1.01
away_theta[29],31.39,7.79,17.17,46.06,1.01
away_theta[30],22.55,5.39,12.89,33.14,1.01
away_theta[31],18.77,4.64,10.96,27.76,1.01
away_theta[32],30.09,6.82,17.57,42.38,1.01
away_theta[33],24.3,5.53,14.61,34.64,1.0
away_theta[34],24.55,6.27,13.6,36.69,1.0
away_theta[35],19.51,4.63,10.99,28.15,1.0
away_theta[36],29.47,6.5,17.97,41.87,1.01
away_theta[37],21.7,5.41,12.81,32.5,1.01
away_theta[38],26.55,5.79,16.72,37.93,1.01
away_theta[39],32.05,6.79,19.94,45.64,1.01
away_theta[40],23.37,4.63,14.95,32.12,1.01
away_theta[41],23.0,4.7,14.25,31.78,1.01
away_theta[42],19.67,4.02,12.59,27.56,1.0
away_theta[43],22.63,4.63,14.44,31.51,1.01
away_theta[44],26.09,5.44,16.38,36.58,1.01
away_theta[45],24.42,5.12,15.49,34.64,1.01
away_theta[46],26.29,5.05,16.93,35.82,1.0
away_theta[47],23.8,4.89,14.72,33.08,1.01
away_theta[48],19.52,4.07,12.79,27.86,1.01
away_theta[49],26.55,6.66,15.13,39.8,1.0
away_theta[50],25.19,6.24,14.53,37.12,1.0
away_theta[51],20.79,4.86,11.78,29.55,1.0
away_theta[52],22.99,4.58,14.61,31.44,1.01
away_theta[53],23.58,4.65,15.02,32.71,1.01
away_theta[54],21.96,5.75,12.07,32.89,1.0
away_theta[55],26.77,5.25,17.47,37.35,1.01
away_theta[56],23.38,4.59,14.8,32.15,1.01
home_theta[0],21.13,3.88,13.89,28.3,1.01
home_theta[1],22.72,4.52,14.29,30.95,1.01
home_theta[2],29.32,5.95,18.58,40.27,1.01
home_theta[3],23.89,4.77,15.47,33.48,1.0
home_theta[4],17.16,3.27,11.15,23.33,1.01
home_theta[5],15.8,3.44,9.83,22.48,1.0
home_theta[6],14.48,3.1,9.14,20.59,1.01
home_theta[7],20.9,4.06,13.8,28.91,1.0
home_theta[8],18.9,3.78,11.98,26.12,1.01
home_theta[9],27.85,5.94,17.34,39.1,1.01
home_theta[10],20.98,4.08,13.37,28.48,1.01
home_theta[11],27.3,5.05,17.78,36.6,1.0
home_theta[12],22.19,4.42,14.8,31.19,1.01
home_theta[13],20.86,4.56,13.0,29.51,1.01
home_theta[14],20.33,3.56,13.03,26.71,1.01
home_theta[15],27.23,5.4,17.45,37.58,1.01
home_theta[16],18.25,3.38,12.11,24.73,1.01
home_theta[17],19.5,3.64,13.15,26.99,1.0
home_theta[18],16.52,3.54,9.79,23.09,1.01
home_theta[19],24.78,4.4,16.63,33.35,1.01
home_theta[20],18.25,3.38,12.11,24.73,1.01
home_theta[21],19.5,3.64,13.15,26.99,1.0
home_theta[22],16.52,3.54,9.79,23.09,1.01
home_theta[23],24.78,4.4,16.63,33.35,1.01
home_theta[24],26.2,5.46,16.83,36.94,1.01
home_theta[25],20.97,4.17,12.93,28.39,1.01
home_theta[26],20.97,4.17,12.93,28.39,1.01
home_theta[27],26.2,5.46,16.83,36.94,1.01
home_theta[28],21.49,4.66,13.22,30.68,1.01
home_theta[29],31.39,7.79,17.17,46.06,1.01
home_theta[30],22.55,5.39,12.89,33.14,1.01
home_theta[31],18.77,4.64,10.96,27.76,1.01
home_theta[32],30.09,6.82,17.57,42.38,1.01
home_theta[33],24.3,5.53,14.61,34.64,1.0
home_theta[34],24.55,6.27,13.6,36.69,1.0
home_theta[35],19.51,4.63,10.99,28.15,1.0
home_theta[36],29.47,6.5,17.97,41.87,1.01
home_theta[37],21.7,5.41,12.81,32.5,1.01
home_theta[38],26.55,5.79,16.72,37.93,1.01
home_theta[39],32.05,6.79,19.94,45.64,1.01
home_theta[40],23.37,4.63,14.95,32.12,1.01
home_theta[41],23.0,4.7,14.25,31.78,1.01
