,mean,sd,hdi_3%,hdi_97%,r_hat
home,0.03,0.21,-0.33,0.41,1.04
atts_mu,0.59,0.33,0.09,1.22,1.1
atts[Argentina],0.71,0.4,0.08,1.56,1.09
atts[Australia],0.62,0.38,-0.09,1.32,1.09
atts[Chile],0.55,0.4,-0.27,1.25,1.07
atts[England],0.66,0.38,-0.02,1.35,1.08
atts[Fiji],0.53,0.39,-0.19,1.25,1.07
atts[France],0.64,0.38,-0.01,1.33,1.07
atts[France A],0.62,0.38,-0.05,1.24,1.07
atts[Georgia],0.58,0.38,-0.06,1.28,1.08
atts[Ireland],0.57,0.38,-0.13,1.28,1.09
atts[Italy],0.6,0.37,0.01,1.34,1.07
atts[Japan],0.45,0.39,-0.19,1.21,1.08
atts[New Zealand],0.69,0.37,0.13,1.5,1.08
atts[Portugal],0.58,0.4,-0.1,1.36,1.07
atts[Scotland],0.63,0.39,-0.09,1.29,1.08
atts[South Africa],0.69,0.39,0.06,1.42,1.09
atts[USA],0.56,0.39,-0.1,1.3,1.08
atts[Uruguay],0.54,0.39,-0.13,1.26,1.06
atts[Wales],0.55,0.39,-0.16,1.2,1.06
defs_mu,0.49,0.34,-0.08,1.09,1.11
defs[Argentina],0.33,0.41,-0.48,1.03,1.09
defs[Australia],0.5,0.37,-0.24,1.13,1.09
defs[Chile],0.6,0.44,-0.11,1.49,1.12
defs[England],0.41,0.4,-0.28,1.21,1.09
defs[Fiji],0.58,0.44,-0.3,1.33,1.11
defs[France],0.44,0.41,-0.32,1.17,1.08
defs[France A],0.5,0.44,-0.27,1.41,1.07
defs[Georgia],0.52,0.41,-0.22,1.26,1.13
defs[Ireland],0.35,0.42,-0.34,1.2,1.08
defs[Italy],0.53,0.4,-0.16,1.32,1.06
defs[Japan],0.77,0.4,0.11,1.56,1.11
defs[New Zealand],0.33,0.4,-0.43,1.0,1.09
defs[Portugal],0.69,0.44,-0.04,1.53,1.11
defs[Scotland],0.29,0.42,-0.43,1.02,1.07
defs[South Africa],0.34,0.39,-0.42,1.08,1.07
defs[USA],0.53,0.45,-0.24,1.4,1.05
defs[Uruguay],0.72,0.42,-0.16,1.41,1.1
defs[Wales],0.54,0.41,-0.17,1.3,1.08
kick_mu,1.09,0.14,0.82,1.34,1.03
kick[0],1.09,0.19,0.69,1.43,1.04
kick[1],1.1,0.2,0.72,1.49,1.04
kick[2],1.07,0.22,0.7,1.47,1.03
kick[3],1.09,0.19,0.73,1.45,1.05
kick[4],1.07,0.2,0.68,1.43,1.05
kick[5],1.1,0.19,0.75,1.47,1.03
kick[6],1.12,0.2,0.74,1.49,1.03
kick[7],1.07,0.19,0.73,1.46,1.03
kick[8],1.08,0.23,0.68,1.61,1.08
kick[9],1.11,0.18,0.8,1.44,1.03
kick[10],1.12,0.19,0.75,1.5,1.04
kick[11],1.1,0.2,0.71,1.46,1.06
kick[12],1.11,0.19,0.71,1.45,1.05
kick[13],1.1,0.19,0.69,1.45,1.04
kick[14],1.11,0.21,0.7,1.49,1.05
kick[15],1.09,0.21,0.72,1.46,1.07
kick[16],1.11,0.19,0.72,1.46,1.04
kick[17],1.12,0.2,0.79,1.55,1.04
atts_sd,0.19,0.12,0.04,0.41,1.28
defs_sd,0.29,0.13,0.05,0.5,1.11
kick_sd,0.13,0.09,0.02,0.3,1.13
alpha_home_tries,3.06,1.09,0.86,4.84,1.01
alpha_away_tries,3.1,1.02,1.29,4.98,1.01
alpha_home_pg_dg,0.66,0.38,0.17,1.23,1.02
alpha_away_pg_dg,0.99,0.47,0.32,1.96,1.02
home_theta[0],3.14,0.89,1.58,4.83,1.0
home_theta[1],4.53,1.3,2.2,6.78,1.03
home_theta[2],3.33,0.95,1.92,5.18,1.0
home_theta[3],2.88,1.02,1.33,4.75,1.02
home_theta[4],2.69,0.86,1.34,4.38,1.02
home_theta[5],2.88,0.99,1.3,4.7,1.02
home_theta[6],4.45,1.42,2.14,6.89,1.01
home_theta[7],2.76,0.93,1.22,4.39,1.02
home_theta[8],3.44,1.01,1.89,5.34,1.02
home_theta[9],2.37,0.77,0.97,3.69,1.01
home_theta[10],2.93,1.09,1.1,4.61,1.01
