,home_team,home_score,away_team,away_score,Mean_x,std_x,95_flag_x,68_flag_x,50_flag_x,Mean_y,std_y,95_flag_y,68_flag_y,50_flag_y,home_resid,away_resid
0,France,17,Ireland,38,22.95,9.236460343367806,1,1,1,22.56,11.560577404792246,1,0,0,-5.949999999999999,15.440000000000001
1,Italy,24,England,27,22.1,8.833856550843173,1,1,1,24.2,12.75508511714406,1,1,1,1.8999999999999986,2.8000000000000007
2,Wales,26,Scotland,27,21.11,8.437646969317154,1,1,1,31.22,16.429223239164465,1,1,1,4.890000000000001,-4.219999999999999
3,Scotland,16,France,20,29.58,11.939821313531704,1,0,0,25.46,13.412005530719751,1,1,1,-13.579999999999998,-5.460000000000001
4,England,16,Wales,14,28.28,11.178962591513146,1,0,0,18.42,9.565757294703344,1,1,1,-12.280000000000001,-4.420000000000002
5,Ireland,36,Italy,0,27.77,10.953372857408064,1,1,0,17.18,9.398203903220205,0,0,0,8.23,-17.18
6,Ireland,31,Wales,7,29.4,11.87974389786384,1,1,1,15.5,8.701349875577185,1,0,0,1.6000000000000014,-8.5
7,Scotland,30,England,21,29.4,11.469504786352736,1,1,1,22.27,11.58392717483832,1,1,1,0.6000000000000014,-1.2699999999999996
8,France,13,Italy,13,30.78,12.35043085995108,1,0,0,20.21,10.877838470256425,1,1,1,-17.78,-7.210000000000001
9,Italy,31,Scotland,29,22.89,8.997696284015172,1,1,0,29.92,15.64413133972926,1,1,1,8.11,-0.9200000000000017
10,England,23,Ireland,22,20.18,7.947939952811965,1,1,1,22.19,11.399855456112379,1,1,1,2.8200000000000003,-0.19000000000000128
11,Wales,24,France,45,20.52,8.113336366987731,1,1,1,29.62,15.085021440830515,1,0,0,3.4800000000000004,15.379999999999999
12,Wales,21,Italy,24,22.65,9.22368062779292,1,1,1,23.72,12.531456412286644,1,1,1,-1.6499999999999986,0.28000000000000114
13,Ireland,17,Scotland,13,25.73,10.220926540625154,1,1,0,22.24,12.291684162855013,1,1,0,-8.73,-9.239999999999998
14,France,33,England,31,27.15,10.57191194955929,1,1,1,21.93,11.319540388239657,1,1,0,5.850000000000001,9.07
15,Wales,13,South Africa,41,16.15,6.792529089268798,1,1,1,29.15,15.11137898721652,1,1,0,-3.1499999999999986,11.850000000000001
16,New Zealand,16,England,15,27.69,11.047085417408328,1,0,0,19.53,10.380527313135026,1,1,1,-11.690000000000001,-4.530000000000001
17,Australia,25,Wales,16,31.61,12.516060616213386,1,1,1,20.54,10.853361270626584,1,1,1,-6.609999999999999,-4.539999999999999
18,South Africa,27,Ireland,20,23.02,8.787188006990801,1,1,1,17.86,9.608383216861219,1,1,1,3.9800000000000004,2.1400000000000006
19,Argentina,13,France,28,27.62,11.222761576184801,1,0,0,26.7,13.863677563047016,1,1,1,-14.620000000000001,1.3000000000000007
20,New Zealand,24,England,17,27.5,10.89489831999015,1,1,1,19.73,10.291071226903725,1,1,1,-3.5,-2.7300000000000004
21,Australia,36,Wales,28,31.35,12.14953586799127,1,1,1,20.88,10.939583743946725,1,1,0,4.649999999999999,7.120000000000001
22,South Africa,24,Ireland,25,22.76,8.86575103916032,1,1,1,17.7,9.336417024195672,1,1,0,1.2399999999999984,7.300000000000001
23,Argentina,33,France,25,27.85,11.048279543139062,1,1,1,26.5,13.898882327572338,1,1,1,5.149999999999999,-1.5
24,Australia,7,South Africa,33,21.17,8.966719601157614,1,0,0,27.58,14.63846105796871,1,1,1,-14.170000000000002,5.420000000000002
25,New Zealand,30,Argentina,38,29.91,11.552242391962317,1,1,1,22.33,11.556789646658371,1,0,0,0.08999999999999986,15.670000000000002
26,New Zealand,42,Argentina,10,29.76,11.69516206816219,1,0,0,22.45,11.633140479732248,1,0,0,12.239999999999998,-12.45
27,Australia,12,South Africa,30,21.24,8.858367482825702,1,0,0,27.6,14.506967015933842,1,1,1,-9.239999999999998,2.3999999999999986
28,Fiji,42,Samoa,16,32.15,13.093002170766027,1,1,0,23.05,12.697904016234201,1,1,1,9.850000000000001,-7.050000000000001
