,home_team,home_score,away_team,away_score,Mean_x,std_x,95_flag_x,68_flag_x,50_flag_x,Mean_y,std_y,95_flag_y,68_flag_y,50_flag_y,home_resid,away_resid,home_resid_abs,away_resid_abs,Home Win (%),Away Win (%),Draw (%)
0,France,17,Ireland,38,21.44,10.111370350539097,1,1,1,21.64,11.49126142081242,1,0,0,-4.440000000000001,16.36,4.440000000000001,16.36,48.4,48.8,2.8000000000000003
1,Italy,24,England,27,20.65,10.094954034189712,1,1,1,24.0,12.024860549130787,1,1,1,3.3500000000000014,3.0,3.3500000000000014,3.0,40.025,57.199999999999996,2.775
2,Wales,26,Scotland,27,20.44,9.987148978954883,1,1,1,32.65,13.302657162796468,1,1,1,5.559999999999999,-5.649999999999999,5.559999999999999,5.649999999999999,21.475,76.4,2.125
3,Scotland,16,France,20,25.99,10.659055106789008,1,1,0,25.19,12.255796508137282,1,1,1,-9.989999999999998,-5.190000000000001,9.989999999999998,5.190000000000001,51.5,46.125,2.375
4,England,16,Wales,14,28.1,10.924698410292416,1,0,0,19.71,11.1552773411107,1,1,1,-12.100000000000001,-5.710000000000001,12.100000000000001,5.710000000000001,70.22500000000001,27.35,2.4250000000000003
5,Ireland,36,Italy,0,26.02,11.076669794539367,1,1,0,17.4,10.57886985391237,0,0,0,9.98,-17.4,9.98,17.4,71.075,26.775,2.15
6,Ireland,31,Wales,7,28.99,10.911114286415252,1,1,1,17.17,10.407078229377763,1,1,0,2.0100000000000016,-10.170000000000002,2.0100000000000016,10.170000000000002,77.0,20.775,2.225
7,Scotland,30,England,21,28.49,10.946954963411008,1,1,1,22.36,11.738638322344638,1,1,1,1.5100000000000016,-1.3599999999999994,1.5100000000000016,1.3599999999999994,65.05,32.95,2.0
8,France,13,Italy,13,29.09,11.043104251584616,1,0,0,19.14,11.125573759279236,1,1,1,-16.09,-6.140000000000001,16.09,6.140000000000001,73.075,24.975,1.95
9,Italy,31,Scotland,29,20.92,10.100433793043575,1,1,0,28.99,12.923638985276153,1,1,1,10.079999999999998,0.010000000000001563,10.079999999999998,0.010000000000001563,30.325000000000003,67.72500000000001,1.95
