,home_team,home_score,away_team,away_score,Mean_x,std_x,95_flag_x,68_flag_x,50_flag_x,Mean_y,std_y,95_flag_y,68_flag_y,50_flag_y,home_resid,away_resid,home_resid_abs,away_resid_abs,Home Win (%),Away Win (%),Draw (%),home_odds,away_odds,draw_odds
0,Ireland,22,Australia,19,28.47,21.32,1,1,1,24.82,17.86,1,1,1,-6.469999999999999,-5.82,6.469999999999999,5.82,54.75,43.5,1.7500000000000002,0.0182648401826484,0.022988505747126436,0.5714285714285714
1,England,59,Japan,14,45.1,33.98,1,1,1,26.34,20.88,1,1,1,13.899999999999999,-12.34,13.899999999999999,12.34,68.25,29.25,2.5,0.014652014652014652,0.03418803418803419,0.4
2,Scotland,27,Australia,13,33.53,27.96,1,1,1,23.47,17.22,1,1,1,-6.530000000000001,-10.469999999999999,6.530000000000001,10.469999999999999,59.25,37.5,3.25,0.016877637130801686,0.02666666666666667,0.3076923076923077
3,France,30,New Zealand,29,23.64,19.36,1,1,1,28.86,20.3,1,1,1,6.359999999999999,0.14000000000000057,6.359999999999999,0.14000000000000057,40.25,56.99999999999999,2.75,0.024844720496894408,0.01754385964912281,0.36363636363636365
4,Ireland,22,Argentina,19,24.94,18.62,1,1,1,26.12,26.99,1,1,1,-2.9400000000000013,-7.120000000000001,2.9400000000000013,7.120000000000001,49.0,47.25,3.75,0.02040816326530612,0.021164021164021163,0.26666666666666666
5,Scotland,15,South Africa,32,23.14,18.99,1,1,1,23.73,18.3,1,1,0,-8.14,8.27,8.14,8.27,49.25,48.75,2.0,0.02030456852791878,0.020512820512820513,0.5
6,France,52,Japan,12,45.92,33.23,1,1,1,25.23,18.98,1,1,1,6.079999999999998,-13.23,6.079999999999998,13.23,70.25,28.499999999999996,1.25,0.014234875444839857,0.03508771929824562,0.8
7,Italy,18,Argentina,50,25.8,20.07,1,1,1,34.07,24.97,1,1,0,-7.800000000000001,15.93,7.800000000000001,15.93,39.75,57.99999999999999,2.25,0.025157232704402517,0.01724137931034483,0.4444444444444444
8,England,37,Australia,42,33.59,26.4,1,1,1,28.97,22.25,1,1,0,3.4099999999999966,13.030000000000001,3.4099999999999966,13.030000000000001,51.0,48.0,1.0,0.0196078431372549,0.020833333333333332,1.0
9,Japan,19,New Zealand,64,21.9,18.34,1,1,1,46.46,32.06,1,1,0,-2.8999999999999986,17.54,2.8999999999999986,17.54,24.5,74.25,1.25,0.04081632653061224,0.013468013468013467,0.8
10,Japan,14,Italy,42,28.51,21.75,1,1,1,41.71,29.54,1,1,1,-14.510000000000002,0.28999999999999915,14.510000000000002,0.28999999999999915,34.5,64.25,1.25,0.028985507246376812,0.01556420233463035,0.8
11,Chile,11,Scotland,52,22.24,18.05,1,1,1,38.24,29.05,1,1,1,-11.239999999999998,13.759999999999998,11.239999999999998,13.759999999999998,31.25,67.0,1.7500000000000002,0.032,0.014925373134328358,0.5714285714285714
12,Uruguay,5,Argentina,79,24.48,20.63,1,0,0,45.4,32.67,1,0,0,-19.48,33.6,19.48,33.6,28.249999999999996,70.25,1.5,0.03539823008849558,0.014234875444839857,0.6666666666666666
13,South Africa,64,Portugal,21,38.61,30.03,1,1,0,22.48,17.04,1,1,1,25.39,-1.4800000000000004,25.39,1.4800000000000004,67.5,30.5,2.0,0.014814814814814815,0.03278688524590164,0.5
14,Australia,40,Georgia,29,33.12,24.46,1,1,1,28.7,21.25,1,1,1,6.880000000000003,0.3000000000000007,6.880000000000003,0.3000000000000007,54.75,43.75,1.5,0.0182648401826484,0.022857142857142857,0.6666666666666666
15,New Zealand,47,Fiji,5,33.26,24.48,1,1,0,23.36,19.07,1,0,0,13.740000000000002,-18.36,13.740000000000002,18.36,63.0,34.5,2.5,0.015873015873015872,0.028985507246376812,0.4
16,Argentina,33,France,25,31.17,25.26,1,1,1,25.9,20.01,1,1,1,1.8299999999999983,-0.8999999999999986,1.8299999999999983,0.8999999999999986,57.99999999999999,40.75,1.25,0.01724137931034483,0.024539877300613498,0.8
