,mean,sd,hdi_3%,hdi_97%,r_hat
home,0.09,0.08,-0.05,0.25,1.01
atts_mu,1.57,0.39,0.88,2.29,1.05
atts[Argentina],1.67,0.41,0.9,2.41,1.05
atts[Australia],1.61,0.41,0.85,2.34,1.05
atts[Canada],1.47,0.42,0.73,2.24,1.05
atts[England],1.59,0.4,0.84,2.35,1.05
atts[Fiji],1.67,0.41,0.91,2.4,1.05
atts[France],1.68,0.41,0.91,2.41,1.05
atts[Georgia],1.53,0.43,0.7,2.28,1.05
atts[Ireland],1.6,0.41,0.9,2.39,1.05
atts[Italy],1.45,0.41,0.66,2.16,1.05
atts[Japan],1.71,0.41,0.98,2.48,1.05
atts[New Zealand],1.69,0.41,0.92,2.43,1.05
atts[Portugal],1.57,0.42,0.81,2.39,1.05
atts[Samoa],1.54,0.41,0.8,2.3,1.05
atts[Scotland],1.72,0.41,0.98,2.48,1.05
atts[South Africa],1.72,0.41,0.98,2.5,1.05
atts[Spain],1.53,0.42,0.75,2.33,1.04
atts[Tonga],1.5,0.42,0.75,2.26,1.05
atts[USA],1.4,0.42,0.64,2.19,1.04
atts[Uruguay],1.51,0.43,0.72,2.33,1.04
atts[Wales],1.44,0.4,0.74,2.22,1.05
defs_mu,1.59,0.39,0.89,2.31,1.05
defs[Argentina],1.64,0.41,0.84,2.37,1.05
defs[Australia],1.67,0.42,0.95,2.49,1.05
defs[Canada],1.8,0.43,0.98,2.54,1.04
defs[England],1.57,0.41,0.78,2.29,1.05
defs[Fiji],1.53,0.41,0.78,2.27,1.05
defs[France],1.51,0.41,0.72,2.23,1.05
defs[Georgia],1.56,0.43,0.74,2.33,1.05
defs[Ireland],1.31,0.42,0.53,2.04,1.05
defs[Italy],1.62,0.41,0.88,2.38,1.05
defs[Japan],1.85,0.42,1.09,2.63,1.05
defs[New Zealand],1.41,0.41,0.63,2.17,1.05
defs[Portugal],1.82,0.44,1.02,2.67,1.04
defs[Samoa],1.71,0.43,0.95,2.49,1.04
defs[Scotland],1.56,0.41,0.79,2.28,1.05
defs[South Africa],1.26,0.42,0.47,2.02,1.05
defs[Spain],1.65,0.44,0.74,2.41,1.04
defs[Tonga],1.81,0.42,1.05,2.61,1.04
defs[USA],1.55,0.42,0.79,2.35,1.05
defs[Uruguay],1.65,0.43,0.81,2.42,1.04
defs[Wales],1.73,0.41,1.01,2.5,1.05
atts_sd,0.17,0.07,0.06,0.29,1.03
defs_sd,0.23,0.07,0.09,0.36,1.01
alpha_home_points,11.32,3.11,6.15,17.26,1.01
alpha_away_points,6.27,2.06,3.26,10.38,1.0
home_theta[0],21.89,3.65,15.38,28.91,1.0
home_theta[1],22.64,3.84,15.51,29.75,1.0
home_theta[2],22.16,3.65,15.52,28.91,1.0
home_theta[3],27.86,4.42,19.91,36.0,1.0
home_theta[4],30.7,5.0,21.73,39.85,1.0
home_theta[5],27.83,4.66,19.63,36.89,1.0
home_theta[6],31.0,5.05,22.24,40.58,1.0
home_theta[7],29.52,4.55,21.11,37.81,1.0
home_theta[8],30.02,4.99,21.41,39.55,1.01
home_theta[9],22.39,3.81,15.51,29.4,1.0
home_theta[10],20.1,3.4,14.16,26.85,1.01
home_theta[11],21.14,3.48,14.83,27.58,1.01
home_theta[12],23.66,4.04,16.49,31.46,1.0
home_theta[13],26.07,4.31,18.63,34.43,1.01
home_theta[14],28.37,4.1,21.38,36.11,1.0
home_theta[15],16.5,3.22,10.6,22.43,1.0
home_theta[16],28.65,4.2,21.63,36.97,1.0
home_theta[17],31.18,4.81,22.53,39.78,1.0
home_theta[18],22.92,3.83,16.06,30.27,1.0
home_theta[19],26.58,4.18,19.21,34.7,1.0
home_theta[20],28.65,4.2,21.63,36.97,1.0
home_theta[21],31.18,4.81,22.53,39.78,1.0
home_theta[22],22.92,3.83,16.06,30.27,1.0
home_theta[23],26.58,4.18,19.21,34.7,1.0
home_theta[24],19.51,3.6,13.22,26.41,1.01
home_theta[25],30.69,4.78,22.08,39.24,1.01
home_theta[26],30.69,4.78,22.08,39.24,1.01
home_theta[27],19.51,3.6,13.22,26.41,1.01
home_theta[28],32.5,5.89,23.0,44.54,1.0
home_theta[29],30.56,5.93,20.2,41.62,1.0
home_theta[30],31.74,6.28,21.4,43.78,1.0
home_theta[31],27.53,5.9,16.84,38.98,1.0
home_theta[32],22.89,4.31,14.66,30.51,1.0
home_theta[33],28.95,5.26,19.99,39.22,1.0
home_theta[34],30.15,5.96,19.86,41.32,1.0
home_theta[35],27.72,5.08,18.77,37.75,1.0
home_theta[36],32.81,5.6,22.59,43.07,1.0
home_theta[37],24.5,4.61,16.12,33.07,1.0
